Delegacia,Furtos na região,Roubo de carga,Roubos,Roubo de Veiculo,Furto de veiculo,Latrocinios,Homicídio doloso por acidente de trânsito,Homicídio Culposo por acidente de Trânsito,Homicídio Culposo,Tentativa de Homicídio,Lesão Corporal seguida de morte,Lesão Corporal Dolosa,Lesão Corporal Culposa por acidente de trânsito,Lesão Corporal Culposa,Estupro,Estupro de vulnerável,Roubo de veiculos,Roubo a Banco ,Ano
VilaAlpina,1455,28,1181,0,674,3,0,1,0,3,0,172,143,9,4,5,215,0,2019
ParquedaMoóca,585,5,322,0,288,0,0,0,0,0,0,128,49,9,4,6,38,1,2020
ParquedaMoóca,633,5,337,0,331,0,0,0,1,0,0,113,76,8,7,4,69,0,2019
VilaFormosa,430,6,450,0,332,1,0,2,0,3,0,97,45,1,1,5,78,0,2020
VilaFormosa,545,2,479,0,442,1,0,4,0,4,0,149,88,0,5,6,96,0,2019
JardimNoemia,692,27,944,1,105,3,0,1,0,5,0,250,50,2,8,21,112,0,2020
JardimNoemia,959,25,1113,0,157,7,0,1,0,8,0,278,65,10,5,34,161,0,2019
ErmelinoMatarazzo,1339,18,1051,0,210,11,0,7,0,10,2,280,103,16,6,19,102,1,2020
ErmelinoMatarazzo,1588,17,1108,0,354,7,2,4,0,9,1,391,113,8,5,23,87,0,2019
VilaJacuí,1383,14,1420,1,280,11,0,7,0,8,1,355,125,12,8,35,192,0,2020
VilaJacuí,1669,33,1336,0,404,9,0,8,0,6,0,387,125,14,9,36,214,0,2019
CidadeAECarvalho,1795,14,1584,1,422,10,0,4,0,7,3,476,67,20,11,29,189,1,2020
CidadeAECarvalho,2389,13,1544,0,517,12,0,3,0,7,0,533,103,12,7,40,278,0,2019
ArturAlvim,1745,5,911,0,255,4,0,7,0,4,0,233,76,5,4,11,122,0,2020
ArturAlvim,2586,3,1091,1,287,4,0,2,1,4,0,310,102,14,3,6,226,0,2019
ValedoAricanduva,1233,15,1269,0,361,2,0,7,0,3,0,331,107,5,3,17,192,0,2020
ValedoAricanduva,1596,19,1514,1,420,5,0,6,0,12,0,356,145,3,6,19,309,0,2019
JardimRobru,809,24,1022,1,104,6,0,0,0,1,0,226,31,3,1,29,98,0,2020
JardimRobru,1013,15,1118,0,152,3,0,2,0,5,0,249,53,8,2,38,182,0,2019
Lajeado,1086,7,1404,1,156,6,0,3,0,8,2,302,81,7,6,31,207,0,2020
Lajeado,1202,16,1641,0,172,11,0,3,0,6,0,391,114,3,16,44,329,0,2019
TeotônioVilela,1260,31,1363,0,543,10,0,3,0,8,1,384,120,8,10,38,267,0,2020
TeotônioVilela,1925,39,1716,1,878,12,0,5,2,10,1,392,125,8,12,36,484,0,2019
VilaEma,905,43,1309,2,497,15,0,6,0,7,0,209,113,16,5,23,241,0,2020
VilaEma,1052,44,1602,0,747,12,0,2,0,9,0,281,155,7,7,33,397,0,2019
VilaPenteado,881,30,745,0,96,17,0,5,1,9,0,223,116,6,4,29,81,0,2020
VilaPenteado,1261,55,1375,1,184,9,0,4,1,9,2,322,191,10,11,27,222,0,2019
Jaçanã,1791,91,1774,1,397,14,0,22,1,16,0,513,171,38,13,53,267,0,2020
Jaçanã,2001,47,2032,2,441,30,0,25,1,19,0,613,265,21,15,58,403,0,2019
Jaraguá,1387,259,1587,1,261,17,0,10,0,10,1,459,115,10,8,60,234,0,2020
Jaraguá,1576,232,1959,1,322,11,0,1,1,17,0,544,170,5,11,56,310,0,2019
JardimArpoador,880,84,1418,1,175,9,0,5,0,7,0,246,74,35,3,21,232,0,2020
JardimArpoador,921,127,1464,0,169,5,0,6,0,13,0,251,108,38,6,32,303,0,2019
SantaCecília,3783,2,1735,0,122,4,0,2,0,6,1,244,65,4,9,8,23,0,2020
SantaCecília,3542,2,1813,0,171,5,0,3,0,9,4,326,84,17,13,6,34,0,2019
Jardins,6097,2,1759,1,282,3,0,2,0,2,0,199,110,27,5,5,15,0,2020
Jardins,12278,2,2203,0,401,1,1,3,1,4,0,269,188,18,6,3,16,0,2019
